Average temperature,Precipitation
-0.9,0.2
5.9,0
0.6,0
0.1,0.4
-1.5,0.2
2.8,0
-1,0
6.3,0
6.8,0
5.7,0.8
2.6,0
12.7,0
11.1,0.6
0.5,0
1.1,4.3
2.2,3
2.1,0.1
7.8,0
10.3,2
9.1,0
12.8,0.7
9.2,0
16.3,2
18.3,2.8
22.8,0
10.6,0
0.5,0
8.4,0.2
9.8,0
8.5,0
10.5,0
10.8,0
9.4,0
9.8,0
6.2,0
9,0.3
13.2,0
13.9,2
17.1,11.1
10.7,0
8.5,9
7.9,0
9.9,0
15.5,7
15.6,0.9
13.8,0
9.6,0
8.3,0
10.2,0
17.4,0
15.5,14.3
15.2,0
13.7,0
14.3,0
14.8,0
11.4,0
10.7,0.5
15,0
17.8,0
15.9,0
15.4,0
17.8,0
14.3,0
14.7,0
15,0
17.8,0
19.2,0
19.6,0
17.1,0
17.4,0
16.6,0
15.3,0
15.9,0
13.9,0
19.4,0
19.4,0
20.8,0
18.2,0
19.7,0
19.8,0
17.2,0
21,0
19.5,0
19.4,0
19.8,0
18.2,10
18.5,0
19,1
18.7,0
19.1,0
18.3,0
19.2,0.3
17.9,0.1
22.7,4
20.4,0
20.7,0
20.2,2
19.3,0
17.9,2
17.9,0.3
18.2,0
18,0
19.9,0
19,0
2.4,0
3.2,0.3
11.5,0.3
14.9,0
8,0.4
16.4,0
13.6,0
7.1,0
10.1,0
18.3,0
16.3,0
12.3,0
8.4,0
10.5,0
10.1,0
15.8,3
12,0
13.8,0
12.5,0
10.9,0
12.4,0
12.3,0
11.8,0
14.2,3
12.3,0.1
17.7,0
16.8,0
16.1,0
16.6,0
13.2,0
13.8,0
17.7,0
17,2
18.3,1
13.5,0
14.1,0.8
12,0
10.6,0
15.9,0
15.2,1
16.1,4.5
18.7,0
13.2,0
14.4,0
13.8,0
14.5,0
13.3,0
16.8,0.7
15.5,1
16.5,9
15.7,0.5
15.3,0
13.5,0.3
14.2,0.1
14.3,0
13.5,2.5
16.8,2
18.9,0
15.5,0.1
13.1,1
13.4,3
13.3,4.1
15,2
14,22
15.1,2
14.9,8
19.1,0.6
17.3,0.5
16.1,0.7
14.6,3
18.7,2.1
18.3,0
21.6,4
15,0
19.3,0
26.6,3
14.3,0
22.9,0
26.1,0
26.2,0
13.6,0
15.1,0
16.6,0
19.6,0
25.1,0.8
27.5,0
19.9,9
19.8,0
18.7,0.7
17.5,0
16.8,0
19.7,0
25.5,0
22.3,0
21.2,0
18.8,0
21.9,21
24.9,0
23.4,1
24.4,0
25.9,0
25.3,0
23.2,0
22.4,0
16.6,0.6
20.6,0
20.3,0
21.2,0
16.5,3
16.3,3
18,4
18.4,3
20.2,0.3
24.7,0.3
24.6,0
23,2
23,2
23.1,0
21.7,0
17.3,0
17.7,0
15.7,12
15.7,0
25.1,0
24.9,0
21.7,0
19,0
20.9,0
18.4,0
14.3,12.6
17.6,0
15.2,0.4
20.4,0
24.1,0
24.6,0
24.5,2
24.7,0.4
21.8,0
23.8,0
17.8,0
22.7,4
20.5,0
10.2,0
15.9,0
10.6,0
5.6,0
21.6,0
21.1,0
20.4,0
18.7,0
14.6,0
11.7,0
24.9,0
12.1,0
3.9,0
17.4,0
8.1,0
1.2,0
25.7,0
19,0
11.1,0
23.9,0
16.6,0
9.5,6
19.3,0
16.1,0
23,0
24.7,0
24.1,0
22.3,0
21,0
22.2,0
16.4,0
18.4,0
15.4,0
14.2,0
16.9,0
17.1,0
16.2,0
10.6,0
20,0
23.1,0
19.7,0.8
21.3,0
18.9,7
18.2,0.7
16.2,27
16.1,8
20.1,0
17.3,6
16.6,14
19.8,8
17.4,4
17.1,0
17.8,0
17.8,5
18,5
15.5,11
16.8,0.6
15.2,15.8
16.1,4.6
14.8,6
15.5,0.6
15.1,28
15.3,5
15,3.7
14.1,1
14.8,6
14.1,17
14.7,7
14.5,15
17,0.9
16.5,0
18.4,0
19.3,0
17.8,0.7
15.8,1.1
16.6,1
17.1,0
18.7,11
16.6,3
16.3,11
17,0.6
17.3,18
15.3,1
15.5,1.3
15.6,3
16.6,0
18.1,0.3
19.7,0
16.3,10
15.3,3
16.1,4
18.2,0.4
19.6,0
19.3,0
16.2,11
15,27
15.9,0.3
21.1,0
15.2,8
16.3,22
15,1
15.7,14
15.5,9
15.4,5
16,0.7
16.7,0
17.5,0
19.9,0
14,8
16,15
15.4,4
15.5,9
16.2,6
16.9,3
15.4,4
16.2,10
16,9
15.6,0.8
16.6,3
17.3,0.9
15.8,3
15.9,4.6
16.5,10
17.8,0.9
19.1,14
17.3,0
17.8,0
15,0
13.4,3.8
13.9,29.9
14.4,4
15.9,0
15.4,0.8
13.3,0.4
18.3,3
14.9,0.5
18.4,0
18.3,2
19.6,2
21,0
18.9,4
17.4,1
15.1,3
21.3,0
22.1,0
19,5
17.2,1
17.2,2
21.9,0
16.7,0
20.2,0
19.6,0
19.4,0
20.6,0.5
18.8,3
16.6,0
20.6,0
19.9,0
19.7,0
23,0
20.2,0
19.2,0
14.7,19.7
17.7,0.8
17.9,0.8
16.2,1.3
14,4
16.4,0
16.1,0.4
16.2,0.7
14.1,35
16.2,0.6
18,0
16.6,1.4
17.4,5
16.6,0
16.3,1
14.9,17
14.6,7
17.1,4.5
16.9,0.5
16.8,15
16.5,6.9
17.9,0
15.8,2
16.8,7
14.3,9.3
16.7,1.3
15.7,3
17.4,0.8
18.4,3.9
18.6,3.5
17.3,2.7
18.7,0
16,2
16,0.9
16.6,0.1
17.1,3
18.1,1.3
16,7
16.6,2
19.1,0.6
18,8
16,4.6
17.5,5
18.1,0.7
18.3,1.4
19.2,0
16.9,0.7
17.6,0.3
16.2,1.5
15.8,2.5
14.6,5
17.6,2
16.5,0
12.5,5.9
18,2
17.9,0.7
16.1,4
17.5,2
16.9,0
17.7,2.4
18.3,3
17.6,1
18.2,4
16.1,12
8.4,18.5
11.8,6
17.9,2
17.9,4
13.1,5
15.2,10
13,1
19.2,0
19.2,0.7
17.9,5.8
15.1,4
17.2,11
15.5,9
17,5.6
16.3,3.6
15.1,0
20,0
17.4,0
16.1,2
14.6,22
18,0
22.1,0
22.6,0
13.6,0.1
17.6,0
24.8,0
22.3,0
14.2,8.3
17.8,0.3
16.1,0
15.3,0
15.2,0.3
13.4,3
15.9,0.9
21.4,0
20.4,0
18.1,0
12.5,0
9.2,0
18.3,5
17.5,15
17.5,0
15.9,0
12,0.8
14.4,16.4
18.7,0
19.4,0
14.5,0
15,0
10.8,0
13,0
12.3,24
15,3
16.3,20
18.3,37
17.9,0
19.5,0
11.4,0
15.4,0
9.8,0
12.6,10
12.4,15
15.3,12
15.3,0.3
15,0
18.8,0
12.6,0
14.5,0
13.8,1.1
13.4,3
13.5,1
14.4,0
14.8,0
15.7,0
14.6,0.4
15.1,2
16.3,0
16.5,0.9
21.9,0
23.4,0
23.6,0
22.5,0
24.3,0.5
21.1,0
23.9,0
21.6,0
12.4,0.3
12.5,0
21.9,1.3
16.4,0
23.1,0
12.3,0.7
7.2,0
20.9,0
11.4,0.5
20.1,15
21.7,12
21.8,0
18.4,0
14.7,0
21.3,27
23.2,0
19.9,0
21.4,0
17.4,0
20.5,33
23,0
19.7,0
20.8,0
20.6,0
21.7,24
20.7,6
20.9,6
21.1,0
22.9,15
22.3,7
20.8,3
21.2,25
21.5,8
22.2,2
21.1,0
23.8,0
15.8,0
20.6,51
22.2,5
23,101
24.2,9
24,0
13.9,0
17.5,0
23.3,0.3
14.1,9
23,22
21.9,7
15.1,1
22.8,2.9
22.5,1
16,5
17.2,29
20.8,3
20.1,0
24.1,12
21.7,19
18,10
14.9,0
10.6,0
15.8,0
13.9,0
9.2,0.9
12.6,0
6.9,0
13.4,0
12.7,0.3
6.5,10
8.2,3
13.2,0
10.6,0
19.6,0
15.1,0
13.7,0
13.4,0.6
11.7,0
13.5,5
12.2,0
11.6,2
8.9,0
15.1,8
16.6,3
16.7,4
16.9,0.6
17.6,0
16.8,4
16.7,7.4
16,2
19.1,14
23.5,0
17.2,0.3
17,14
16,8
19.1,0.3
16.6,7
19.2,0
25.1,0
24.3,1
24.2,0
22.8,0
25.7,0.3
25.9,0
24.2,0
26.6,0
16.9,0
20.5,0
21.8,0
22.5,0
19.7,0
17.7,0.4
17.5,0.7
13.9,5
16.7,0.1
15.6,5.7
12.4,5
16.8,3
15.6,3
16.5,0
14.6,4
16.4,2
19.6,0
13.5,12
17.3,1
13.2,5.3
11.1,0
19.9,0
21.2,0
25.4,0
22.7,0
19.5,0
17.7,0
20.4,0.2
20,0
20.4,0
17.9,0
16.4,0
17.9,0
20.6,0
16,0
18,0
19.1,0
20.3,0
20,0
21.9,0
21.3,0
20.7,0
21.2,0
21.1,0
20.6,0
20.5,0
20.1,0
20.3,0
20.6,0
20.6,0
20.2,0
17.8,0
19.8,0
21.7,0
19.1,0
19.4,0
22,0
20.7,0
22.2,0
11.7,0
19.9,0
15.7,0
19.3,0
19.3,0
9.9,0
12.5,0
13.8,0
19.6,0
15.9,0
9.2,0
18.1,0
18.1,0
17.3,0
15.4,0
12.9,0
20.5,0
20.3,0
19.9,0
12.9,0
17.4,0
15.1,0
16.8,0
16.5,0
16.2,0
16.4,0
19.1,0
11.9,0
20,0
16.1,0
21.2,0
19.4,0
19.6,0
16.8,0
19.1,0
19.4,0
15.3,0
15.9,0
18.8,0
16.1,0
18.9,0
18.6,0
19.5,0
17.9,0
16.4,0
19.1,0
12.5,0
17.7,0
19.7,0
16,0
17.7,0
14.2,0
16.3,0
8.4,0
18.4,0
18.4,0
16.9,0
19.3,0
16.9,0
19.5,0
14.7,0
19.7,0
20.1,0
19.7,0
18.6,0
21,0
14.9,0
11.4,0
14.1,0
17.9,0
6.6,0
17.8,0
19.5,0
19.7,0
13.4,0
11.5,0
3.9,0
18.3,0
15.7,0
14.6,0
13,0
20.4,0
15.6,0
18.3,0
17.4,0
19.6,0
17.1,0
18,0
18,0
16.9,0
16.2,0
16.6,0
16.8,0
17.8,0
18.9,0
19.2,0
15.5,0
13.6,0
16.2,0
18.2,0
20.1,0
19.8,0
20.1,0
20.1,0
19.9,0
24.3,0
30.7,7
31.5,0
27.3,0
30.4,31
30,0
29.7,11
27.2,0.6
32.7,0
31.5,0
32.5,7
32.5,0
29.3,7
29.4,4
30.6,6
30.9,0
29.1,8
28.5,1
27.1,15
28.3,13
29.2,2
29.6,0
28.4,15
27.5,8
28.9,4
30,12
28.2,14
30.6,7
28.8,10
27.5,31
27.4,23
28.2,15
30.6,3
26,62
26,4
26.8,2
27.9,19
26.8,14
31.1,0.2
30.8,0.6
27.3,71
26.8,3
25.5,6
26.4,24
27,0
26.3,0.2
30,0
27.6,26
30.9,0
30.4,0
27.8,49
26.8,43
25.2,19
26.6,29
30.5,14
28.6,0
28.7,0.1
28.1,0
29.2,9
27.4,13
27.9,3
29.1,0.4
29.5,0.2
29.8,0
30,0
27.8,76
23.6,8
30,0.4
31,0
31.3,0.1
26,35
27.5,31
25.3,0.5
27.5,0
29.8,0
31,0
24.7,5
28.4,1
31,6
31,0
26.3,32
27.5,0
28,0.2
32.3,0.4
32.1,0
30.9,0
32.4,0
31.6,4
31.5,0.3
32,0
30,5
32.6,0
33.4,0
29,0
33.9,1
33,10
30.9,1
25.2,7
23.2,2
23.6,0
29.6,0.6
26.5,7
26.1,0
31.2,0
31.3,0.1
26.6,2
31.7,0
30.1,6
31.2,0
30.2,10
30.7,0
29,2
26.5,0.6
28.1,0
