•¶Žš—ñ,Œ‹‰Ê,beatles‚ÌŠm—¦,rolling stones‚ÌŠm—¦
ff,rolling stones,0.024,0.048
fg,beatles,0.036,0.03200000000000001
gf,rolling stones,0.024,0.048
gg,beatles,0.036,0.03200000000000001
fff,rolling stones,0.02268,0.10532
ffg,rolling stones,0.04052,0.04508000000000001
fgf,rolling stones,0.02484,0.11332
fgg,rolling stones,0.05076,0.054680000000000006
gff,rolling stones,0.06408,0.08084
gfg,beatles,0.09212000000000001,0.032760000000000004
ggf,rolling stones,0.05039999999999999,0.07732
ggg,beatles,0.0846,0.03468000000000001
ffff,rolling stones,0.011934000000000002,0.10416239999999999
fffg,rolling stones,0.025226000000000002,0.0316776
ffgf,rolling stones,0.014570800000000002,0.06183920000000001
ffgg,beatles,0.0397812,0.022176800000000003
fgff,rolling stones,0.0141864,0.11414400000000001
fgfg,rolling stones,0.0294796,0.03545600000000001
fggf,rolling stones,0.018208799999999997,0.0720064
fggg,beatles,0.0501132,0.025097599999999998
gfff,rolling stones,0.0366732,0.0791872
gffg,beatles,0.07433479999999999,0.0239488
gfgf,rolling stones,0.04045,0.0446272
gfgg,beatles,0.09885000000000001,0.0160608
ggff,rolling stones,0.032186400000000004,0.07607440000000001
ggfg,beatles,0.0636796,0.023189600000000005
gggf,rolling stones,0.0373104,0.0450792
gggg,beatles,0.09181560000000002,0.015672800000000004
fffff,rolling stones,0.005258700000000001,0.08823272
ffffg,rolling stones,0.0118657,0.02347448
fffgf,rolling stones,0.006759532000000001,0.031480144
fffgg,beatles,0.021956148,0.009394096000000003
ffgff,rolling stones,0.005059976000000001,0.054415856000000005
ffgfg,rolling stones,0.013487563999999997,0.015006544000000002
ffggf,rolling stones,0.009807192,0.02421816000000001
ffggg,beatles,0.033846188,0.007576400000000003
fgfff,rolling stones,0.006466668000000001,0.09716582400000001
fgffg,rolling stones,0.014468852,0.02601081600000001
fgfgf,rolling stones,0.008440820000000002,0.035439552000000006
fgfgg,beatles,0.026335380000000002,0.010605568000000001
fggff,rolling stones,0.006746856,0.06254232
fggfg,beatles,0.017458684000000002,0.017017040000000004
fgggf,rolling stones,0.012757056,0.026738224000000005
fgggg,beatles,0.04317668400000001,0.008218256
gffff,rolling stones,0.016499484000000002,0.06707033600000001
gfffg,beatles,0.03674107600000001,0.017843264
gffgf,rolling stones,0.020442363999999994,0.023804479999999996
gffgg,beatles,0.06525219600000001,0.0071148800000000005
gfgff,rolling stones,0.014885,0.039430448
gfgfg,beatles,0.0379679,0.010923152000000004
gfggf,beatles,0.025786151999999996,0.017657456
gfggg,beatles,0.08558082800000001,0.005557584000000002
ggfff,rolling stones,0.015098748000000002,0.06451520000000001
ggffg,beatles,0.033244772000000006,0.017197760000000003
ggfgf,rolling stones,0.018964484000000004,0.023015744000000005
ggfgg,beatles,0.05770707600000001,0.006867136000000001
gggff,rolling stones,0.015076967999999998,0.039226496000000007
gggfg,beatles,0.036879052,0.010695744000000002
ggggf,beatles,0.025170000000000005,0.016767040000000004
ggggg,beatles,0.08111190000000003,0.005177280000000001
ffffff,rolling stones,0.0021745412400000007,0.07175603808
fffffg,rolling stones,0.005025544360000001,0.01828119072
ffffgf,rolling stones,0.00283707404,0.020209599680000002
ffffgg,beatles,0.009916303559999999,0.00540238112
fffgff,rolling stones,0.0018909524000000006,0.026222861760000007
fffgfg,rolling stones,0.005817548600000002,0.006844869440000001
fffggf,rolling stones,0.0047774863200000005,0.008930303680000001
fffggg,beatles,0.01796255948,0.0025558915200000008
ffgfff,rolling stones,0.0018484154800000009,0.044645039680000005
ffgffg,rolling stones,0.004677755720000001,0.01148588512
ffgfgf,rolling stones,0.0030904200400000007,0.013374564160000005
ffgfgg,beatles,0.011167847560000005,0.003674229440000002
ffggff,rolling stones,0.0025550128800000006,0.02033055328000001
ffggfg,beatles,0.008325559320000002,0.005341465920000002
ffgggf,rolling stones,0.007244449600000001,0.007435071680000004
ffgggg,beatles,0.027583409400000012,0.0021634947200000008
fgffff,rolling stones,0.0027056665199999995,0.07914617856000003
fgfffg,rolling stones,0.006239702280000004,0.020202800640000004
fgffgf,rolling stones,0.0035667574000000017,0.022511930880000003
fgffgg,beatles,0.012224658599999999,0.006044536320000002
fgfgff,rolling stones,0.0024901242400000006,0.029525808000000008
fgfgfg,rolling stones,0.007388406360000001,0.0077074848000000026
fgfggf,rolling stones,0.005897853840000001,0.010092543360000001
fgfggg,beatles,0.021734460759999998,0.0028887814400000004
fggfff,rolling stones,0.0025630767600000005,0.051112802879999995
fggffg,rolling stones,0.00636429764,0.01309192032
fggfgf,rolling stones,0.00417838052,0.014953366080000004
fggfgg,beatles,0.01466913828,0.00406001632
fgggff,rolling stones,0.003491646479999999,0.022325285760000008
fgggfg,beatles,0.01101508972,0.0058313350400000016
fggggf,beatles,0.00942514224,0.007947652480000003
fggggg,beatles,0.035405718360000005,0.0022881171200000005
gfffff,rolling stones,0.00687525564,0.05455276288000001
gffffg,beatles,0.015802765960000003,0.013900241920000002
gfffgf,rolling stones,0.008825363480000003,0.015371560960000002
gfffgg,beatles,0.03074048772000001,0.00411211264
gffgff,rolling stones,0.00579947432,0.019847966080000008
gffgfg,beatles,0.017636651480000005,0.005186773120000001
gffggf,beatles,0.014285440560000005,0.006779178880000002
gffggg,beatles,0.05346677084000001,0.0019445075200000006
gfgfff,rolling stones,0.005617522840000001,0.03240068896000001
gfgffg,beatles,0.013851886759999998,0.008350440640000002
gfgfgf,rolling stones,0.008741731240000002,0.009788833600000001
gfgfgg,beatles,0.031444144359999995,0.002701950400000001
gfggff,rolling stones,0.007007173200000004,0.014858385280000002
gfggfg,beatles,0.022074559800000008,0.003914197120000001
gfgggf,beatles,0.018578206720000004,0.005485951360000003
gfgggg,beatles,0.07000148508000001,0.0016038086400000009
ggffff,rolling stones,0.006384804599999998,0.052501665280000005
ggfffg,beatles,0.0146276394,0.013386545920000005
ggffgf,rolling stones,0.00827564908,0.014836775680000002
ggffgg,beatles,0.028173066120000007,0.0039739187200000005
ggfgff,rolling stones,0.0057356970399999995,0.01917595936
ggfgfg,beatles,0.016708765559999998,0.005006933440000002
ggfggf,beatles,0.013086659280000003,0.006529506880000003
ggfggg,beatles,0.04779786892,0.001869590720000001
gggfff,rolling stones,0.005988244920000001,0.03208833568000001
gggffg,beatles,0.014415199879999998,0.00822770272
gggfgf,rolling stones,0.0090284162,0.00943393696
gggfgg,beatles,0.031184041800000006,0.0025704470400000003
ggggff,rolling stones,0.00734139144,0.014028868480000007
ggggfg,beatles,0.022104627160000005,0.0036730131200000014
gggggf,beatles,0.018156769440000005,0.005033623680000001
gggggg,beatles,0.06699923916000002,0.0014558163200000002
fffffff,rolling stones,0.0008787843467999998,0.05768380718720001
ffffffg,rolling stones,0.0020472474852000003,0.014503042476800003
fffffgf,rolling stones,0.0011475514604,0.014961800531200001
fffffgg,beatles,0.0041349096756,0.0038225937088000005
ffffgff,rolling stones,0.0007225592968,0.016400108422400004
ffffgfg,rolling stones,0.0023799695051999995,0.0041643161536
ffffggf,rolling stones,0.0020661059160000006,0.0046426500672
ffffggg,beatles,0.008012027614000002,0.0012332500928
fffgfff,rolling stones,0.0005890607019999998,0.0212013298752
fffgffg,rolling stones,0.0016613067379999996,0.0053651283648
fffgfgf,rolling stones,0.0012387111028000003,0.005753492870400002
fffgfgg,beatles,0.0047180012692,0.0015047333056000002
fffggff,rolling stones,0.0010740341544000001,0.007338226387199999
fffggfg,beatles,0.0039102622716000015,0.0018861748927999997
fffgggf,beatles,0.0036766799008000005,0.002332256339200001
fffgggg,beatles,0.014455895761200007,0.0006457709248000003
ffgffff,rolling stones,0.0006997329115999999,0.03597819770240001
ffgfffg,rolling stones,0.0017113613524000002,0.0090717167936
ffgffgf,rolling stones,0.0010508612092000004,0.0095052155072
ffgffgg,beatles,0.003839593878800001,0.0024532459328
ffgfgff,rolling stones,0.0007493107208000001,0.010914741344
ffgfgfg,rolling stones,0.0025696333212,0.002787783200000001
ffgfggf,rolling stones,0.0023128039784000003,0.0032400929984000007
ffgfggg,beatles,0.009013166927600002,0.0008775658816000002
ffggfff,rolling stones,0.0007429988796000002,0.016458125523199998
ffggffg,rolling stones,0.0022133631844,0.0041703167168000025
ffggfgf,rolling stones,0.0017614316675999995,0.004518949203200002
ffggfgg,beatles,0.0067486823364000005,0.0011878435008000007
ffgggff,rolling stones,0.0015997642280000004,0.006122155078400002
ffgggfg,beatles,0.005914171502,0.0015758986816000005
ffggggf,beatles,0.005631719524800001,0.0019982749632000006
ffggggg,beatles,0.022187547177200007,0.0005568753728000001
fgfffff,rolling stones,0.0010971698844000008,0.06365612113920002
fgffffg,rolling stones,0.0025563380116000005,0.016014086860800004
fgfffgf,rolling stones,0.0014432117244,0.016569549926400005
fgfffgg,beatles,0.0051569124515999975,0.004241723289600002
fgffgff,rolling stones,0.0009313577959999998,0.018285384883200004
fgffgfg,rolling stones,0.003012123734000002,0.004647625036800002
fgffggf,rolling stones,0.0025776104952000005,0.0052165055232000004
fgffggg,beatles,0.009910800402799999,0.0013902283008
fgfgfff,rolling stones,0.0008109845948000001,0.023871087782400005
fgfgffg,rolling stones,0.002217634557200001,0.006040486233600002
fgfgfgf,rolling stones,0.0016014969444000007,0.006478137408
fgfgfgg,beatles,0.0060215984516,0.00169404384
fgfggff,rolling stones,0.0013746917448000005,0.008291648563200003
fgfggfg,beatles,0.004867978977200003,0.002130632140800001
fgfgggf,beatles,0.004493428736,0.0026354194944000014
fgfgggg,beatles,0.017539776293999998,0.0007293899776000002
fggffff,rolling stones,0.0009887398571999998,0.04114268200320001
fggfffg,rolling stones,0.002395702150799999,0.010359906796800003
fggffgf,rolling stones,0.0014637494859999999,0.010778974483200005
fggffgg,beatles,0.005263741314,0.0027688972608000007
fggfgff,rolling stones,0.0010579180264000004,0.012170410118400001
fggfgfg,beatles,0.003512906199600001,0.0030995130816
fggfggf,rolling stones,0.0030881888904000006,0.0035399917632000007
fggfggg,beatles,0.011894149975599996,0.0009503995328000001
fgggfff,rolling stones,0.0010657079436000006,0.018045034867200004
fgggffg,rolling stones,0.0030719002003999994,0.004564267276800002
fgggfgf,rolling stones,0.0023791820852000004,0.004901713190400003
fgggfgg,beatles,0.008982894142800003,0.001281124441600001
fggggff,rolling stones,0.0021444829128000006,0.006527047123200002
fggggfg,beatles,0.007752972809200001,0.0016753972928000005
fgggggf,beatles,0.007288680878399998,0.0020936917312000007
fgggggg,beatles,0.028546998327599993,0.0005794386368000003
gffffff,rolling stones,0.0027881141148,0.04385637616640001
gfffffg,rolling stones,0.0064785271572,0.011027081369600001
gffffgf,rolling stones,0.003612224678,0.0113790444032
gffffgg,beatles,0.013004207082,0.0029079315968000004
gfffgff,rolling stones,0.0022562475495999986,0.01247688512
gfffgfg,beatles,0.0074076775643999995,0.0031689731840000004
gfffggf,beatles,0.006409372197600001,0.0035369402624000007
gfffggg,beatles,0.02484055575639999,0.0009402872576000001
gffgfff,rolling stones,0.0018286177083999997,0.016052716659200005
gffgffg,beatles,0.0051064274276,0.004063878540800001
gffgfgf,rolling stones,0.003756844886800001,0.004365896307200001
gffgfgg,beatles,0.014300249165200004,0.0011433258368000003
gffggff,rolling stones,0.0032295076872000013,0.0055744769024
gffggfg,beatles,0.011700997690800003,0.0014339710976000002
gffgggf,beatles,0.0109552914976,0.0017783124992
gffgggg,beatles,0.04303839863640001,0.0004933011968
gfgffff,rolling stones,0.0021675828908,0.02612346416
gfgfffg,rolling stones,0.0052217299012,0.006590597024
gfgffgf,rolling stones,0.003114570708400001,0.006925237702400002
gfgffgg,beatles,0.011362881947600004,0.0017909197376000006
gfgfgff,rolling stones,0.0021365232488000005,0.007998014777600001
gfgfgfg,beatles,0.007276238833200001,0.0020454805184000006
gfgfggf,beatles,0.006506761172000002,0.0023939228480000015
gfgfggg,beatles,0.02536788159800001,0.0006508118720000003
gfggfff,rolling stones,0.0021241890060000016,0.0120374516864
gfggffg,beatles,0.006122662594000003,0.0030528657536000006
gfggfgf,beatles,0.0046911209268000005,0.0033217953152000013
gfggfgg,beatles,0.017903069605200005,0.0008756225408000003
gfgggff,rolling stones,0.0041689969544,0.004523256608000002
gfgggfg,beatles,0.015209385071599999,0.0011660496320000005
gfggggf,beatles,0.014337180772799999,0.0014878005824000002
gfggggg,beatles,0.056350353969200004,0.0004160308416000002
ggfffff,rolling stones,0.002601012414000002,0.042214815795200006
ggffffg,rolling stones,0.006042056986000003,0.010616586444800001
ggfffgf,rolling stones,0.0033940618572,0.0109664064512
ggfffgg,beatles,0.012099901870800005,0.0028043798528000004
ggffgff,rolling stones,0.002179189037600001,0.012045911206400002
ggffgfg,beatles,0.007002083716400006,0.0030603633536000012
ggffggf,beatles,0.0059569692312000004,0.003422028915200001
ggffggg,beatles,0.022857448986800005,0.0009105550208000002
ggfgfff,rolling stones,0.0019048449548000005,0.015505650195200003
ggfgffg,beatles,0.005133729717200005,0.003924336108800001
ggfgfgf,rolling stones,0.003639999426,0.0042105209024
ggfgfgg,beatles,0.013633363154000004,0.0011016965696000003
ggfggff,rolling stones,0.0030924980135999987,0.0053665761152
ggfggfg,beatles,0.010832574460399992,0.0013797473408000006
ggfgggf,beatles,0.0099169379456,0.0017070276992000003
ggfgggg,beatles,0.0386090254284,0.00047292762880000023
gggffff,rolling stones,0.0023645497404000027,0.025837092166400004
gggfffg,rolling stones,0.0056340211956000035,0.0065081827136
gggffgf,rolling stones,0.003344105916400001,0.006783750675200001
gggffgg,beatles,0.011945652339600004,0.0017449721408000004
gggfgff,rolling stones,0.0023417085640000004,0.007685484608000003
gggfgfg,beatles,0.007631808486000003,0.0019593921920000004
gggfggf,beatles,0.006604566679200002,0.002249631142400001
gggfggg,beatles,0.025324566578800008,0.0006058713216000001
ggggfff,rolling stones,0.0023696900507999994,0.011347235091200003
ggggffg,beatles,0.0065528113412000035,0.0028724925248000003
ggggfgf,beatles,0.004844627920400002,0.0030965911232000006
ggggfgg,beatles,0.018091569315600003,0.0008115504448000001
gggggff,beatles,0.0042627060647999985,0.0041395807424
gggggfg,beatles,0.0150400598572,0.0010642142016
ggggggf,beatles,0.013902074183999996,0.0013381611712000002
ggggggg,beatles,0.05413611456599998,0.0003717081408
ffffffff,rolling stones,0.00035236977918000004,0.04621377280550401
fffffffg,rolling stones,0.0008226849820200002,0.011573127636096005
ffffffgf,rolling stones,0.00045883280314800025,0.011682572676992003
ffffffgg,rolling stones,0.001673950293972001,0.0029401716327680004
fffffgff,rolling stones,0.00028099020666400005,0.012023592132480002
fffffgfg,rolling stones,0.0009533533419960001,0.003020852040320001
fffffggf,rolling stones,0.0008472474340080001,0.0031330495901440002
fffffggg,beatles,0.0033253599040120006,0.000800183239296
ffffgfff,rolling stones,0.00020569592961200002,0.013169199129471999
ffffgffg,rolling stones,0.0006197889876680001,0.0033065444634880004
ffffgfgf,rolling stones,0.0004942664051400001,0.003392815940992
ffffgfgg,beatles,0.0019179470894600007,0.000862822095488
ffffggff,rolling stones,0.0004394626663440001,0.003756966154624
ffffggfg,beatles,0.001671481463516001,0.0009505692284159999
ffffgggf,beatles,0.001617913683104001,0.0010508280369920001
ffffgggg,beatles,0.006424674198156005,0.00027663022092800006
fffgffff,rolling stones,0.00020159620703600012,0.017012988328320003
fffgfffg,rolling stones,0.0005284563708040002,0.004268518961280001
fffgffgf,rolling stones,0.00035680243375600006,0.0043549212599040005
fffgffgg,beatles,0.0013476430028840005,0.0011039601327360001
fffgfgff,rolling stones,0.0002744299643599999,0.004645330110336
fffgfgfg,rolling stones,0.00100975906854,0.001172959668864
fffgfggf,rolling stones,0.000955703521448,0.0012638402707200003
fffgfggg,beatles,0.0037854594101720015,0.0003293748742400001
fffggfff,rolling stones,0.00026125204777200007,0.005908401316224
fffggffg,rolling stones,0.000891593579908,0.0014879316092160002
fffggfgf,rolling stones,0.0007977461395559998,0.001557540254592
fffggfgg,beatles,0.003141168186084,0.00040078676492800015
fffgggff,rolling stones,0.0007612389666320002,0.0019005628358399996
fffgggfg,beatles,0.0029605003319480012,0.00048407481152000004
fffggggf,beatles,0.002909181072240002,0.000571201876864
fffggggg,beatles,0.011582977428860004,0.00015436750041600001
ffgfffff,rolling stones,0.00027104456690800005,0.028845148726912004
ffgffffg,rolling stones,0.000649301218612,0.007229758181248001
ffgfffgf,rolling stones,0.00038071493500399994,0.007332492237952002
ffgfffgg,rolling stones,0.0013982359067559996,0.0018514158273280005
ffgffgff,rolling stones,0.000250955892008,0.007654645293184002
ffgffgfg,rolling stones,0.0008691781420120001,0.0019275784226560004
ffgffggf,rolling stones,0.0007860551018800001,0.0020326857560320007
ffgffggg,beatles,0.003088071313820001,0.000523960905088
ffgfgfff,rolling stones,0.00020149325302000018,0.008776600415872002
ffgfgffg,rolling stones,0.0006354513397800002,0.002207120142208
ffgfgfgf,rolling stones,0.0005312214083880001,0.0022864665591039997
ffgfgfgg,beatles,0.0020699459273320004,0.0005849774805759999
ffgfggff,rolling stones,0.00048779846106400014,0.002631450151552
ffgfggfg,beatles,0.0018689246315960004,0.000668217731968
ffgfgggf,beatles,0.001819173046528001,0.000761614168192
ffgfgggg,beatles,0.007227186867292002,0.00020325705612800004
ffggffff,rolling stones,0.00024047297127600001,0.013210828534143999
ffggfffg,rolling stones,0.0006582092401639998,0.003315715616895999
ffggffgf,rolling stones,0.00047231596689200023,0.0033901675774720003
ffggffgg,beatles,0.0017946277295880007,0.0008605727284479999
ffggfgff,rolling stones,0.0003854381281680003,0.00365181848512
ffggfgfg,beatles,0.0014332824342520004,0.00092291462464
ffggfggf,beatles,0.0013676519282640005,0.0010026227587840001
ffggfggg,beatles,0.005416295400396001,0.0002622816840960001
ffgggfff,rolling stones,0.00037900395799600017,0.004930179482751999
ffgggffg,beatles,0.0013222522002439999,0.0012417682343679997
ffgggfgf,rolling stones,0.0012057664473159998,0.0013031205617919995
ffgggfgg,beatles,0.004751724072723999,0.00033564132492799995
ffggggff,rolling stones,0.0011626712619600007,0.0016293757776640004
ffggggfg,beatles,0.004533461306940002,0.00041512734681599996
ffgggggf,beatles,0.004464373893328001,0.0004949873534720002
ffgggggg,beatles,0.017777985348492002,0.00013411285260800005
fgffffff,rolling stones,0.00044019462668400014,0.05100623130624
fgfffffg,rolling stones,0.0010283906602760002,0.01277557303296
fgffffgf,rolling stones,0.0005759140201880002,0.012908758339584001
fgffffgg,rolling stones,0.002094015902532001,0.003250948755456
fgfffgff,rolling stones,0.00035708648119200004,0.013321089801216003
fgfffgfg,rolling stones,0.001202086553788,0.0033483480483840005
fgfffggf,rolling stones,0.001061817729336,0.003483984522240001
fgfffggg,beatles,0.004152926207004,0.0008914404403200004
fgffgfff,rolling stones,0.00027194834460400006,0.014686525653504003
fgffgffg,rolling stones,0.0008041560651560005,0.003688517070336001
fgffgfgf,rolling stones,0.0006296955974440003,0.0037908431877120017
fgffgfgg,beatles,0.0024314302029160018,0.0009650343214080005
